Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,PLATAFORMAS - SPEAK DA SEMANA 34 ATÉ A 44,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,3°BIM,PLATAFORMAS - SPEAK DA SEMANA 24 ATÉ A 33,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,2°BIM,PLATAFORMA Speak 2º BIMESTRE  A PARTIR DA SEMANA 11 ATÉ 21,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,PLATAFORMA Speak 2025  A PARTIR DA SEMANA 1 ATÉ A 10 - 1º BIMESTRE,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,1°BIM
,,,,,4°BIM,,,,,,,,4°BIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Diretor,S42,S41,S40,S39,S38,S37,S36,S35,S34,S33,S32,S31,S30,S29,S28,S27,S26,S25,MÉDIA,S 21,S 20,S 19,S 18,S 17,S 16, S 15,S 14,S 13,S 12,S 11,RANKING,MÉDIA,S 10,S 9,S 8,S 7 ,S 6 ,S 5,S 4,S 3,S 2 ,S 1
1 - NOME DA ESCOLA,,,,Ciente,2024-12-01 00:00:00,2024-11-24 00:00:00,1900-01-06 17:45:36,2024-11-10 00:00:00,2024-11-09 00:00:00,2024-11-02 00:00:00,2024-10-26 00:00:00,2024-10-19 00:00:00,2024-10-12 00:00:00,2024-10-05 00:00:00,2024-09-28 00:00:00,2024-09-21 00:00:00,2024-09-14 00:00:00,2024-09-07 00:00:00,,,,,2º BIM,2025-06-28 00:00:00,2025-06-21 00:00:00,2025-06-14 00:00:00,2025-06-07 00:00:00,2025-05-31 00:00:00,2025-05-24 00:00:00,2025-05-17 00:00:00,2025-05-10 00:00:00,2025-05-03 00:00:00,2025-04-26 00:00:00,2025-04-19 00:00:00,1º BIM,1º BIM,2025-04-12 00:00:00,2025-04-05 00:00:00,2025-03-29 00:00:00,2025-03-22 00:00:00,2025-03-15 00:00:00,2025-03-08 00:00:00,2025-03-01 00:00:00,2025-02-22 00:00:00,2025-02-15 00:00:00,2025-02-08 00:00:00
EE Luiz Marcari,,,,,,,,,,,,,,,,,,,,,,,,2.541,1.375,2.45,0.775,1.725,0.9,0.741,8.09,1.008,1.305,11.549,2º,2.323,3.401,2.032,1.581,7.614,3.311,1.04,2.721,1.377,0.147,0.008
PEI EE José Luiz de Siqueira,,,,,,,,,,,,,,,,,,,,,,,,1.057,1.482,1.65,1.892,2.407,1.603,1.345,0.988,0.965,1.859,1.475,7º,1.629,3.058,4.776,2.208,1.692,1.941,0.311,0.844,1.034,0.322,0.094
EE Profº Nestor G de Araújo,,,,,,,,,,,,,,,,,,,,,,,,1.72,1.575,2.62,2.179,3.995,5.062,2.6,2.137,0.794,0.872,0.637,6º,1.645,1.613,1.567,3.061,3.498,1.54,1.822,1.362,1.138,0.849,0
EE DR Mário Lins,,,,,,,,,,,,,,,,,,,,,,,,2.375,1.227,1.852,3.102,2.5,2.511,6.568,8.229,3.103,2.816,1.126,17º,0.832,1.839,0.356,1.804,2.436,0.103,0.045,0.942,0.793,0,0
EE Profº Plínio Berardo,,,,,,,,,,,,,,,,,,,,,,,,1.327,1.286,3.129,2.292,2.04,1.748,1.982,0.953,1.201,1.354,0.781,3º,2.315,1.91,4.875,5.872,3.817,3.336,0.426,1.045,1.859,0.014,0
PEI EE Domingos Paro,,,,,,,,,,,,,,,,,,,,,,,,3.595,3.78,2.68,2.59,2.92,4.585,2.955,3.451,2.373,2.671,2.181,1º,2.658,4.075,2.717,2.237,2.368,2.383,1.075,4.803,2.681,3.969,0.272
PEI EE Maria Falconi de Felício,,,,,,,,,,,,,,,,,,,,,,,,2.538,1.524,2.213,2.178,2.132,2.842,1.734,1.474,1.49,1.086,1.473,11º,1.124,1.701,1.421,1.193,1.68,1.695,0.821,1.027,1.236,0.464,0.003
EE Mauricio Montecchi,,,,,,,,,,,,,,,,,,,,,,,,8.498,1.599,4.284,3.051,2.737,3.784,3.307,1.894,0.608,0.392,0.772,9º,1.269,2.012,1.303,2.647,1.99,1.369,0.434,1.006,0.941,0.817,0.174
EE Orminda Guimarães Cotrim,,,,,,,,,,,,,,,,,,,,,,,,1.489,1.066,0.98,3.291,2.3,1.313,1.907,1.766,0.891,1.726,1.733,5º,1.727,3.782,2.422,3.259,2.036,2.24,0.336,1.43,0.915,0.854,0
EE Profª Josepha Castro,,,,,,,,,,,,,,,,,,,,,,,,2.951,0.256,0.531,0.605,0.725,0.821,0.318,0.476,0.31,0.627,0.298,26º,0.285,0.733,0.468,0.673,0.363,0.491,0.087,0.016,0.016,0,0
EE Dona Adélia Frascino,,,,,,,,,,,,,,,,,,,,,,,,1.055,1.027,0.916,1.333,1.305,1.25,1.333,1.128,1.225,1.275,0.625,21º,0.665,1.125,0.4,1.1,1.45,0.95,0.3,0.425,0.475,0.425,0
PEI EE Profª Dolores B Novaes,,,,,,,,,,,,,,,,,,,,,,,,1.878,1.292,1.498,1.312,0.885,0.997,0.575,0.761,0.58,0.532,0.44,22º,0.662,1.081,1.281,1.46,0.983,0.372,0.201,0.266,0.407,0.974,0.009
EE Profº Basílio R da Silva,,,,,,,,,,,,,,,,,,,,,,,,1.175,0.808,0.587,1.252,2.725,2.153,1.884,1.384,0.744,1.081,0.395,19º,0.709,0.882,0.793,0.731,1.463,0.618,0.526,0.518,0.524,1.017,0.015
EE Profª Dolores M de Castro,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.725,0.541,1.133,1.166,1.066,1.158,2.19,1.033,1.016,1.373,13º,1.002,1.341,3.276,1.593,1.178,0.983,0.113,0.544,0.723,0.268,0
EE Profª Yolanda Luiz Sicchieri,,,,,,,,,,,,,,,,,,,,,,,,1.612,1.465,2.061,1.97,1.788,2.175,2.586,1.966,1.314,2.012,1.952,4º,1.781,3.539,2.891,2.311,2.75,1.93,1.484,0.972,1.88,0.055,0
EE Profª Edith Silveira Dalmaso,,,,,,,,,,,,,,,,,,,,,,,,2.043,1.136,1.222,1.374,2.62,1.722,2.336,1.814,1.168,1.53,1.494,12º,1.032,2.075,0.997,1.769,1.478,0.951,0.337,0.723,0.609,0.77,0.611
PEI EE DR Antonio Furlan Júnior,,,,,,,,,,,,,,,,,,,,,,,,1.261,2.344,3.432,0.842,6.688,3.104,2.24,0.715,1.01,0.567,0.375,8º,1.313,3.07,2.335,1.908,2.955,0.934,0.251,0.464,0.895,0.322,0
EE Profª Nícia Fabiola Z. Giraldi,,,,,,,,,,,,,,,,,,,,,,,,1.177,0.857,1.607,2.019,0.921,1.906,1.269,1.814,0.524,1.167,1.077,15º,0.888,1.517,0.594,2.849,1.691,0.646,0.307,0.661,0.523,0.089,0
EE DR Isaías José Ferreira,,,,,,,,,,,,,,,,,,,,,,,,1.023,1.112,0.481,1.505,3.737,2.496,1.655,2.752,1.527,2.059,1.476,10º,1.187,0.574,1.225,2.661,2.924,1.952,0.985,1.258,0.266,0.022,0
EE Ferrucio Chiaratti,,,,,,,,,,,,,,,,,,,,,,,,0.599,0.715,1.497,2.28,0.918,1.606,1.642,0.797,0.806,0.826,1.158,20º,0.705,1.134,1.732,1.645,1.732,0.488,0.092,0.161,0.048,0.016,0
EE Winston Churchill,,,,,,,,,,,,,,,,,,,,,,,,1.416,2.907,1.821,1.064,1.687,1.203,0.969,2.268,1.049,1.057,0.489,18º,0.777,1.466,0.809,1.57,1.638,0.986,0.119,0.723,0.348,0.109,0.005
EE Anna Passamonti Balardin,,,,,,,,,,,,,,,,,,,,,,,,1.397,0.532,2.604,1.042,1.333,1.425,1.662,0.853,0.159,2.023,1.257,23º,0.654,1.597,0.314,1.992,1.034,0.541,0.193,0.463,0.364,0.013,0.03
EE Profª Maria C R S Magon,,,,,,,,,,,,,,,,,,,,,,,,1.081,0.925,1.544,1.544,2,1.115,2.346,2.07,1.075,0.739,3.425,24º,0.625,1.197,1.277,0.932,0.944,0.512,0.166,0.549,0.296,0.382,0
EE Profº Bruno Pieroni,,,,,,,,,,,,,,,,,,,,,,,,1.678,1.045,1.741,2.903,2.401,2.404,2.547,1.553,1.052,1.234,0.652,16º,0.85,1.318,0.637,1.123,1.744,1.585,0.859,0.696,0.454,0.067,0.013
EE Profª Maria Elyde M dos Santos,,,,,,,,,,,,,,,,,,,,,,,,1.734,1.227,3.459,1.843,2.729,2.398,1.398,1.427,1.446,2.705,1.437,14º,0.939,0.838,1.018,0.843,1.225,1.493,0.534,1.119,1.276,1.041,0
EE Odulfo de Oliveira Guimarães,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.313,1.089,0.674,0.741,0.527,0.347,0.234,0.205,0.747,0.722,25º,0.509,0.726,0.6,0.955,1.132,0.451,0.141,0.477,0.368,0.238,0
